No.,H1,H2,Lineal Feet,Location,Buttons,Inch Feet,Lat,Long,Notes,SQ FT,Width,Length,Quick Desc,Accuracy,Date,Image1,Image Link1
1,0,0, ,6705 Red Jacket Rd,"D&R, Cracks, Missing Piece", ,38.77002335,-77.25170898,6705 Red Jacket Rd,32,4,8, ,1,45:17.0,,https://s3-us-east-2.amazonaws.com/bbproduction/05-2023/Images/167445_1_1.png
2,0,0, ,6705 Red Jacket Rd,"D&R, Cracks", ,38.7700187,-77.25171071,6705 Red Jacket Rd,32,4,8, ,1,45:33.0,,https://s3-us-east-2.amazonaws.com/bbproduction/05-2023/Images/167445_2_1.png
3,0,0, ,6618 Grey Fox Dr,"D&R, Cracks", ,38.77132797,-77.25026703, , , , , ,1,09:09.0,,https://s3-us-east-2.amazonaws.com/bbproduction/05-2023/Images/167445_3_1.png
4,0,0, ,8807 Bridle Wood Dr,D&R, ,38.7722168,-77.25006866,8807 Bridle Wood Dr, , , , ,1,25:05.0,,https://s3-us-east-2.amazonaws.com/bbproduction/05-2023/Images/167445_4_1.png
5,0,0, ,6608 Grey Fox Dr,"D&R, Cracks", ,38.77259827,-77.25007629,6608 Grey Fox Dr, , , , ,1,32:16.0,,https://s3-us-east-2.amazonaws.com/bbproduction/05-2023/Images/167445_5_1.png
